,Home Team,Away Team,Game Code
0,Royal Perth Lil Yachty Club,The Fresh Prince of Beel-iar,Royal Perth Lil Yachty Club vs The Fresh Prince of Beel-iar
1,Dianella Gonna Give You Up,Get Bentley,Dianella Gonna Give You Up vs Get Bentley
2,Floreat Frenchies,Mount Hawthorn Roughheads,Floreat Frenchies vs Mount Hawthorn Roughheads
3,Kraft Singlewood,Churchlands Sea Urchins,Kraft Singlewood vs Churchlands Sea Urchins
4,Paris Hiltons,Mount Hawt'n'horny,Paris Hiltons vs Mount Hawt'n'horny
5,Darch Vaders,Victoria Park Bitters,Darch Vaders vs Victoria Park Bitters
6,Claremonty Pythons,Vic Park Gon' Ageev it to Ya,Claremonty Pythons vs Vic Park Gon' Ageev it to Ya
7,Noranda Naruto Runners,Morley Puck Troopers,Noranda Naruto Runners vs Morley Puck Troopers
8,Northbridge MDM8s,Bicton Passive Aggressive Lords,Northbridge MDM8s vs Bicton Passive Aggressive Lords
9,Angelina Jolimont Womb Raiders,Belmontgomery Burns,Angelina Jolimont Womb Raiders vs Belmontgomery Burns
10,Cockburn Comrades,Redcliffe Reds,Cockburn Comrades vs Redcliffe Reds
11,Bayswater Marauder Otters,Hillarys Humpbacks,Bayswater Marauder Otters vs Hillarys Humpbacks
12,Perthhub: two girls one puck,Myaree Mighty Moles,Perthhub: two girls one puck vs Myaree Mighty Moles
13,GMLA Jurassic Pucks,Kanye Westminster,GMLA Jurassic Pucks vs Kanye Westminster
14,Mirrabooker T's,Ledahosens,Mirrabooker T's vs Ledahosens
15,Maylands Before Time,Mount Helena Meese,Maylands Before Time vs Mount Helena Meese
16,Shorty get chidlow low low low low low low low,St Georges Terrors,Shorty get chidlow low low low low low low low vs St Georges Terrors
17,RiverVale River Vixens,Rocko Rodents,RiverVale River Vixens vs Rocko Rodents
18,Manning Tatum,North Perth Bald Beavers,Manning Tatum vs North Perth Bald Beavers
19,"South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons",Warwick and Morty,"South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons vs Warwick and Morty"
20,East Freo Bae Blades,Inglewood Bin Chickens,East Freo Bae Blades vs Inglewood Bin Chickens
21,Rottnest Rum Hams,Don't Go Chasing Waterford's,Rottnest Rum Hams vs Don't Go Chasing Waterford's
22,Belmont Poon Bears,Churchlands Hellraisers,Belmont Poon Bears vs Churchlands Hellraisers
23,The Wizards of the Guildford,Maylands Muthapuckas,The Wizards of the Guildford vs Maylands Muthapuckas
24,Bateman Begins,Wembley Food Courts,Bateman Begins vs Wembley Food Courts
25,Scar Bros,North Perth King Pins,Scar Bros vs North Perth King Pins
26,North Perth Nighthawks,Kenwick Lamars,North Perth Nighthawks vs Kenwick Lamars
27,Chick Park,Paddington Bears,Chick Park vs Paddington Bears
28,Bayswater Barracudas,Perth Glory Holez,Bayswater Barracudas vs Perth Glory Holez
29,Booragoonbagz,Parkerville Puckman,Booragoonbagz vs Parkerville Puckman
30,Triggerlypuffs,Worship Skatan: Highgates of Hell,Triggerlypuffs vs Worship Skatan: Highgates of Hell
31,50 Shades of Graylands,Dianella Dalai Llamas,50 Shades of Graylands vs Dianella Dalai Llamas
32,Canning Bridge Trolls,High Wycombe Hustlers,Canning Bridge Trolls vs High Wycombe Hustlers
33,North Beach Bearded Clams,Balingup Bruisers,North Beach Bearded Clams vs Balingup Bruisers
34,Doubleview Dingleberries,Kalamunda Cooked-aburras,Doubleview Dingleberries vs Kalamunda Cooked-aburras
35,Mandurah Bukkhockey,The Uncomofos,Mandurah Bukkhockey vs The Uncomofos
36,City Beach Don't Kill My Vibe,Stoneville Sloths,City Beach Don't Kill My Vibe vs Stoneville Sloths
37,Rottnest Holy Quokkamoles,Jeremy Clarkson,Rottnest Holy Quokkamoles vs Jeremy Clarkson
38,Bob Rossmoyne,Innaloominati,Bob Rossmoyne vs Innaloominati
39,All Australind Adventures,TRIGGERED BEACH,All Australind Adventures vs TRIGGERED BEACH
40,Mirrabooka Dealers,CCCP,Mirrabooka Dealers vs CCCP
41,Subi-hack-o,TrashField,Subi-hack-o vs TrashField
42,Chicken Wingthrop,St James McHales,Chicken Wingthrop vs St James McHales
43,Cockburn Coneheads,Carmel Clout,Cockburn Coneheads vs Carmel Clout
44,Aurora Morleyalis,Karrinyup Puck Buddies,Aurora Morleyalis vs Karrinyup Puck Buddies
45,Kalamunda Hillbillies,Padbury Puck 'er Up Boys,Kalamunda Hillbillies vs Padbury Puck 'er Up Boys
