50 Shades of Graylands,706.905723294
All Australind Adventures,843.12063551
Angelina Jolimont Womb Raiders,629.583333333
Aurora Morleyalis,726.847323857
Balingup Bruisers,541.567189075
Bateman Begins,774.253170812
Bayswater Barracudas,611.784003017
Bayswater Marauder Otters,710.458300609
Belmont Poon Bears,894.1
Belmontgomery Burns,630.137945118
Bicton Passive Aggressive Lords,803.165639319
Bob Rossmoyne,752.351582813
Booragoonbagz,772.501471834
Canning Bridge Trolls,835.8
Carmel Clout,467.56386046
CCCP,883.9
Chick Park,655.8
Chicken Wingthrop,941.398036959
Churchlands Hellraisers,888.211436143
Churchlands Sea Urchins,571.644663653
City Beach Don't Kill My Vibe,661.487202807
Claremonty Pythons,795.1
Cockburn Comrades,562.507913519
Cockburn Coneheads,454.668829191
Darch Vaders,687.016774768
Dianella Dalai Llamas,697.052676143
Dianella Gonna Give You Up,485.44748573
Don't Go Chasing Waterford's,511.961463128
Doubleview Dingleberries,399.345454545
East Freo Bae Blades,516.51751273
Floreat Frenchies,637.828846131
Get Bentley,634.6
GMLA Jurassic Pucks,689.7
High Wycombe Hustlers,841.37936449
Hillarys Humpbacks,713.9
Inglewood Bin Chickens,503.796952605
Innaloominati,744.848127902
Jeremy Clarkson,636.0
Kalamunda Cooked-aburras,378.250979968
Kalamunda Hillbillies,488.342031531
Kanye Westminster,688.936414668
Karrinyup Puck Buddies,755.8
Kenwick Lamars,568.724897406
Kraft Singlewood,576.606962408
Ledahosens,683.7
Mandurah Bukkhockey,405.984210526
Manning Tatum,679.594276706
Maylands Before Time,429.010526316
Maylands Muthapuckas,921.16104922
Mirrabooka Dealers,851.588563857
Mirrabooker T's,684.532872245
Morley Puck Troopers,794.5
Mount Hawt'n'horny,579.501579478
Mount Hawthorn Roughheads,637.6
Mount Helena Meese,429.958754765
Myaree Mighty Moles,709.700289285
Noranda Naruto Runners,795.1
North Beach Bearded Clams,518.395315418
North Perth Bald Beavers,681.230713087
North Perth King Pins,689.6
North Perth Nighthawks,566.466863881
Northbridge MDM8s,794.6
Padbury Puck 'er Up Boys,453.549390824
Paddington Bears,658.330211967
Paris Hiltons,576.911549389
Parkerville Puckman,769.745357354
Perth Glory Holez,614.524494174
Perthhub: two girls one puck,716.0
Redcliffe Reds,563.119656527
RiverVale River Vixens,608.142343825
Rocko Rodents,606.594080517
Rottnest Holy Quokkamoles,649.070668756
Rottnest Rum Hams,514.587171853
Royal Perth Lil Yachty Club,591.348724664
Scar Bros,691.853013264
Shorty get chidlow low low low low low low low,600.914123911
South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons,641.342128437
St Georges Terrors,602.349451747
St James McHales,898.469151731
Stoneville Sloths,677.503817518
Subi-hack-o,540.8
The Fresh Prince of Beel-iar,627.715662143
The Uncomofos,419.8
The Wizards of the Guildford,896.115506839
TrashField,531.4
TRIGGERED BEACH,833.5
Triggerlypuffs,435.144763037
Vic Park Gon' Ageev it to Ya,795.534360681
Victoria Park Bitters,687.341699391
Warwick and Morty,639.421898565
Wembley Food Courts,776.3
Worship Skatan: Highgates of Hell,440.254545455
